num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
1085,388,1473,0.736591989137814
1064,395,1459,0.7292666209732693
1070,411,1481,0.7224848075624578
972,575,1547,0.6283128636069812
1099,394,1493,0.7361018084393838
980,384,1364,0.718475073313783
1057,393,1450,0.7289655172413793
1082,409,1491,0.7256874580818243
1072,400,1472,0.7282608695652174
385,98,483,0.7971014492753623
78,141,219,0.3561643835616438
412,100,512,0.8046875
1027,388,1415,0.7257950530035335
1146,466,1612,0.7109181141439206
994,419,1413,0.7034677990092003
846,108,954,0.8867924528301887
1140,430,1570,0.7261146496815286
1059,649,1708,0.620023419203747
1354,200,1554,0.8712998712998713
167,171,338,0.4940828402366864
1792,50,1842,0.9728555917480999
40,134,174,0.22988505747126436
407,104,511,0.7964774951076321
1065,411,1476,0.7215447154471545
181,241,422,0.42890995260663506
1314,137,1451,0.9055823569951758
181,128,309,0.5857605177993528
163,205,368,0.4429347826086957
2,93,95,0.021052631578947368
1314,203,1517,0.8661832564271589
1056,394,1450,0.7282758620689656
978,442,1420,0.6887323943661972
1217,565,1782,0.6829405162738497
1056,398,1454,0.7262723521320495
951,445,1396,0.6812320916905444
1233,401,1634,0.7545899632802937
1317,169,1486,0.8862718707940781
1103,520,1623,0.6796056685150955
887,375,1262,0.7028526148969889
1123,396,1519,0.739302172481896
1095,379,1474,0.742876526458616
1079,419,1498,0.7202937249666221
1073,420,1493,0.7186872069658405
1147,413,1560,0.7352564102564103
212,183,395,0.5367088607594936
411,81,492,0.8353658536585366
380,76,456,0.8333333333333334
2522,62,2584,0.9760061919504643
990,468,1458,0.6790123456790124
