time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.33,0.34700000000000003,0.34019047619047627,0.34,0.0039111446092154455,0.16,0.168,0.165,0.165,0.0017606816861659024,3.217,3.3850000000000002,3.3281000000000005,3.336,0.04335769827839107,0.218,0.226,0.22319999999999998,0.223,0.0018867962264113225,1.106,1.165,1.14495,1.147,0.014537795568792372,0.16,0.167,0.16439999999999996,0.165,0.0019339079605813735,5.298,5.557,5.460849999999999,5.4879999999999995,0.06907262482344223,0.405,0.419,0.41340000000000005,0.41450000000000004,0.0034842502780368643,2.584,2.72,2.67395,2.6865,0.032589070253690886,0.093,0.094,0.09355000000000001,0.094,0.0004974937185533104,32,32,4096,11008,32768,True,3360,1
0.334,0.34700000000000003,0.3382380952380953,0.337,0.0027929291997362275,0.163,0.167,0.16445,0.164,0.001160818676624391,2.981,3.071,3.0096,3.0075000000000003,0.023044305153334603,0.219,0.225,0.22174999999999997,0.222,0.0014448183276799902,1.079,1.107,1.0877499999999998,1.084,0.007196353243136413,0.162,0.166,0.16390000000000002,0.164,0.000994987437106621,5.285,5.424,5.3129,5.2985,0.03501842372237796,0.40900000000000003,0.417,0.41174999999999995,0.41100000000000003,0.001894069692487575,2.5060000000000002,2.578,2.5294,2.525,0.01733032025093588,0.093,0.093,0.093,0.093,0.0,32,32,4096,11008,32768,True,3328,1
0.329,0.339,0.3343333333333333,0.334,0.002783169370705233,0.16,0.165,0.16255000000000003,0.163,0.0012835497652993449,2.954,3.0420000000000003,2.9899500000000003,2.9915000000000003,0.026144741345058318,0.217,0.224,0.21964999999999998,0.22,0.0017109938632268687,1.071,1.102,1.0848,1.086,0.009179324593890347,0.16,0.164,0.16205,0.162,0.001160818676624391,5.226,5.365,5.28345,5.2905,0.045632745917816596,0.403,0.41100000000000003,0.4063,0.40650000000000003,0.002410394158638792,2.487,2.557,2.5139,2.52,0.021092415698539636,0.091,0.092,0.0914,0.091,0.0004898979485566361,32,32,4096,11008,32768,True,3296,1
0.324,0.334,0.33004761904761903,0.33,0.002733847637029969,0.159,0.163,0.16104999999999997,0.161,0.001243985530462474,2.947,3.0420000000000003,2.99025,2.9905,0.025284135342146855,0.214,0.22,0.21664999999999995,0.216,0.001492481155659931,1.061,1.097,1.07965,1.0815000000000001,0.009880662933224678,0.158,0.163,0.16015,0.16,0.0013518505834595788,5.205,5.352,5.28265,5.295999999999999,0.043951422047528756,0.398,0.40700000000000003,0.4019500000000001,0.4025,0.002246664193866099,2.466,2.556,2.5085,2.516,0.022464416306683777,0.09,0.091,0.0907,0.091,0.0004582575694955844,32,32,4096,11008,32768,True,3264,1
0.318,0.334,0.3263809523809524,0.327,0.00381071409976049,0.155,0.161,0.159,0.159,0.0015811388300841914,2.8810000000000002,3.0340000000000003,2.9759499999999997,2.987,0.03795454518236256,0.20800000000000002,0.217,0.21384999999999996,0.215,0.0021971572542719814,1.04,1.095,1.0753,1.081,0.013928747251637522,0.155,0.16,0.1586,0.159,0.0012806248474865711,5.1000000000000005,5.321,5.2528999999999995,5.2835,0.057102451786241085,0.39,0.403,0.39740000000000003,0.3985,0.0029899832775452133,2.426,2.5580000000000003,2.5005,2.5155000000000003,0.030309239515368933,0.089,0.09,0.08925,0.089,0.00043301270189221973,32,32,4096,11008,32768,True,3232,1
0.314,0.327,0.3227619047619048,0.324,0.0030535656270250307,0.153,0.159,0.15734999999999996,0.158,0.001651514456491376,2.817,2.938,2.8898500000000005,2.8970000000000002,0.02695602901022332,0.20700000000000002,0.216,0.21215,0.212,0.0017684739183827368,1.027,1.08,1.0615,1.0645,0.010476163419878505,0.153,0.159,0.15685,0.157,0.0013143439428094925,4.976,5.2090000000000005,5.12305,5.1425,0.049138045341669816,0.386,0.399,0.39374999999999993,0.395,0.003047539991534158,2.4170000000000003,2.547,2.50035,2.5140000000000002,0.031895571792962096,0.088,0.089,0.08805,0.088,0.00021794494717703385,32,32,4096,11008,32768,True,3200,1
0.317,0.324,0.3208095238095238,0.321,0.0020381842437174015,0.154,0.158,0.15644999999999998,0.157,0.0011169153951844347,2.859,2.951,2.8999,2.903,0.021245940788771872,0.20700000000000002,0.215,0.21005,0.21,0.0018296174463531942,1.048,1.079,1.06245,1.0645,0.0080899629170967,0.154,0.158,0.15594999999999998,0.156,0.0009733961166965902,5.078,5.214,5.134850000000001,5.144500000000001,0.035073173509108144,0.387,0.395,0.39055,0.391,0.0020609463845524967,2.48,2.556,2.5090500000000002,2.5145,0.02167827253265352,0.08700000000000001,0.088,0.08714999999999999,0.08700000000000001,0.0003570714214271379,32,32,4096,11008,32768,True,3168,1
0.309,0.32,0.31685714285714284,0.318,0.0027130322920465005,0.15,0.156,0.15410000000000001,0.154,0.0014106735979665897,2.807,2.9090000000000003,2.8780500000000004,2.88,0.025050898187490248,0.202,0.209,0.2064,0.20700000000000002,0.0015297058540778344,1.0190000000000001,1.061,1.0513,1.0495,0.009397340049184124,0.15,0.155,0.15374999999999997,0.154,0.0011779218989389757,4.973,5.156,5.09605,5.0865,0.045619595570324814,0.378,0.387,0.3841,0.384,0.002487971060924948,2.427,2.524,2.4963,2.492,0.02804478561158922,0.08600000000000001,0.08700000000000001,0.08605000000000003,0.08600000000000001,0.00021794494717703385,32,32,4096,11008,32768,True,3136,1
0.311,0.318,0.31533333333333335,0.315,0.001553286326695248,0.152,0.156,0.15405,0.154,0.0009733961166965902,2.866,2.965,2.91605,2.909,0.023633609542344516,0.20500000000000002,0.20700000000000002,0.20585,0.20600000000000002,0.0008529361054615998,1.044,1.081,1.06305,1.059,0.009494603730540842,0.152,0.155,0.15345,0.153,0.0007399324293474377,5.077,5.25,5.1579999999999995,5.1425,0.04375042856932953,0.379,0.387,0.38285,0.383,0.0019306734576307837,2.692,2.7800000000000002,2.7334000000000005,2.729,0.022276444958745138,0.084,0.085,0.0844,0.084,0.0004898979485566361,32,32,4096,11008,32768,True,3104,1
0.307,0.315,0.31142857142857144,0.312,0.0023618279557404294,0.15,0.154,0.15205000000000002,0.152,0.0009205976319760993,2.959,3.035,2.9993499999999993,2.9975,0.019290606522346536,0.203,0.20800000000000002,0.20485000000000003,0.20450000000000002,0.0014924811556599313,1.016,1.042,1.0286000000000002,1.029,0.006792643079096679,0.15,0.153,0.15114999999999998,0.151,0.0009096702699330135,4.824,4.954,4.8925,4.892,0.03342080190540021,0.378,0.384,0.3803,0.3805,0.0015198684153570677,2.317,2.387,2.34285,2.3455000000000004,0.016614075357960778,0.08600000000000001,0.08700000000000001,0.08665,0.08700000000000001,0.00047696960070847314,32,32,4096,11008,32768,True,3072,1
